,Accountable_Organization,Implementing_Organization,Award_Status,Award_Total_Estimated_Value,Award_Start_Date,Award_End_Date,Award_Transaction_Value,Award_Transaction_DAC_Purpose_Code,Award_Transaction_DAC_Purpose_Code_Name,Award_Transaction_US_Foreign_Assistance_Category,Year
1334,U.S. Agency for International Development,Vendor implementing direct administrative services,Completion,0.0,2014-10-01,2015-09-30,143447.079999999,91010,Administrative costs,Program Management,2014
1336,U.S. Agency for International Development,Personal Services Contractors - USAID,Implementation,0.0,2015-10-01,2018-09-30,448.55,72010,Material relief assistance and services,Humanitarian Assistance,2015
1338,U.S. Agency for International Development,The vendor name has been redacted in accordance with the Principled Exceptions outlined in the Office of Management and Budget Bulletin 12-01.,Completion,0.0,2013-09-18,2016-09-30,1126196.26,72010,Material relief assistance and services,Humanitarian Assistance,2013
1340,U.S. Agency for International Development,Personal Services Contractors - USAID,Completion,0.0,2012-10-01,2014-09-30,5940.0,72010,Material relief assistance and services,Humanitarian Assistance,2012
1341,U.S. Agency for International Development,The vendor name has been redacted in accordance with the Principled Exceptions outlined in the Office of Management and Budget Bulletin 12-01.,Completion,44633223.0,2017-08-15,2018-08-14,439700.0,72050,Relief co-ordination; protection and support services,Humanitarian Assistance,2017
1342,U.S. Agency for International Development,The vendor name has been redacted in accordance with the Principled Exceptions outlined in the Office of Management and Budget Bulletin 12-01.,Completion,0.0,2012-10-01,2015-09-30,144211.0,72050,Relief co-ordination; protection and support services,Humanitarian Assistance,2012
1343,U.S. Agency for International Development,"Development Transformations, Llc",Implementation,3616973.0,2014-10-01,2018-09-30,26149.13,15220,"Civilian peace-building, conflict prevention and resolution",Peace and Security,2014
1344,U.S. Agency for International Development,The vendor name has been redacted in accordance with the Principled Exceptions outlined in the Office of Management and Budget Bulletin 12-01.,Implementation,152830256.0,2016-09-22,2018-12-31,9221887.72,72040,Emergency food aid,Humanitarian Assistance,2016
1345,U.S. Agency for International Development,Personal Services Contractors - USAID,Completion,0.0,2012-10-01,2014-09-30,2771.69999999999,72010,Material relief assistance and services,Humanitarian Assistance,2012
1346,U.S. Agency for International Development,International Relief and Development,Implementation,44998925.0,2016-06-18,2018-09-30,1000000.0,15220,"Civilian peace-building, conflict prevention and resolution",Peace and Security,2016
1347,U.S. Agency for International Development,Dexis Consulting Group,Completion,0.0,2014-10-01,2018-07-28,180802.329999999,15220,"Civilian peace-building, conflict prevention and resolution",Peace and Security,2014
1348,U.S. Department of State,CELESTAR CORPORATION,Completion ,6500000.0,2016-05-03,2018-05-02,4360.82999999999,43010,Multisector aid,Multi-sector,2016
1349,U.S. Agency for International Development,The vendor name has been redacted in accordance with the Principled Exceptions outlined in the Office of Management and Budget Bulletin 12-01.,Completion,0.0,2015-09-18,2017-09-30,444179.0,72050,Relief co-ordination; protection and support services,Humanitarian Assistance,2015
1350,U.S. Agency for International Development,The vendor name has been redacted in accordance with the Principled Exceptions outlined in the Office of Management and Budget Bulletin 12-01.,Completion,0.0,2012-10-01,2016-09-30,8882.5,72010,Material relief assistance and services,Humanitarian Assistance,2012
1351,U.S. Agency for International Development,United Nations Population Fund,Completion,0.0,2015-04-30,2017-09-30,1250000.0,72050,Relief co-ordination; protection and support services,Humanitarian Assistance,2015
1352,U.S. Agency for International Development,The vendor name has been redacted in accordance with the Principled Exceptions outlined in the Office of Management and Budget Bulletin 12-01.,Implementation,0.0,2013-08-28,2018-09-30,1061000.0,72040,Emergency food aid,Humanitarian Assistance,2013
1353,U.S. Agency for International Development,The vendor name has been redacted in accordance with the Principled Exceptions outlined in the Office of Management and Budget Bulletin 12-01.,Completion,0.0,2013-01-25,2015-09-30,507778.0,72010,Material relief assistance and services,Humanitarian Assistance,2013
1354,U.S. Agency for International Development,Vendor implementing direct administrative services,Completion,0.0,2012-10-01,2013-09-30,262072.79,43010,Multisector aid,Program Management,2012
1355,U.S. Agency for International Development,The vendor name has been redacted in accordance with the Principled Exceptions outlined in the Office of Management and Budget Bulletin 12-01.,Completion,2250000.0,2015-05-19,2016-09-30,150000.0,72010,Material relief assistance and services,Humanitarian Assistance,2015
1356,U.S. Agency for International Development,The vendor name has been redacted in accordance with the Principled Exceptions outlined in the Office of Management and Budget Bulletin 12-01.,Completion,3194441.0,2016-10-01,2018-09-30,752455.76,72050,Relief co-ordination; protection and support services,Humanitarian Assistance,2016
1357,U.S. Agency for International Development,"Chemonics International, Inc.",Completion,0.0,2014-10-01,2017-09-30,631676.01,15220,"Civilian peace-building, conflict prevention and resolution",Peace and Security,2014
1358,U.S. Agency for International Development,Personal Services Contractors - USAID,Completion,0.0,2012-10-01,2014-09-30,9099.94,72010,Material relief assistance and services,Humanitarian Assistance,2012
1359,U.S. Agency for International Development,United Nations Children's Fund,Implementation,90964000.0,2016-10-01,2018-09-30,9919852.59999999,72050,Relief co-ordination; protection and support services,Humanitarian Assistance,2016
1361,U.S. Department of State,CELESTAR CORPORATION,Completion ,6500000.0,2016-05-03,2018-05-02,4000.0,43010,Multisector aid,Multi-sector,2016
1362,U.S. Agency for International Development,The vendor name has been redacted in accordance with the Principled Exceptions outlined in the Office of Management and Budget Bulletin 12-01.,Implementation,3850000.0,2016-10-01,2018-09-30,346037.349999999,72050,Relief co-ordination; protection and support services,Humanitarian Assistance,2016
1365,U.S. Agency for International Development,The vendor name has been redacted in accordance with the Principled Exceptions outlined in the Office of Management and Budget Bulletin 12-01.,Completion,0.0,2014-08-15,2016-09-30,252332.0,72010,Material relief assistance and services,Humanitarian Assistance,2014
1366,U.S. Agency for International Development,"Development Transformations, Llc",Completion,0.0,2012-10-01,2017-09-30,70370.0,43010,Multisector aid,Program Management,2012
1367,U.S. Agency for International Development,The vendor name has been redacted in accordance with the Principled Exceptions outlined in the Office of Management and Budget Bulletin 12-01.,Completion,0.0,2012-10-01,2015-09-30,165342.0,72010,Material relief assistance and services,Humanitarian Assistance,2012
1368,U.S. Agency for International Development,The vendor name has been redacted in accordance with the Principled Exceptions outlined in the Office of Management and Budget Bulletin 12-01.,Completion,24999532.0,2015-10-01,2017-09-30,1305141.0,72050,Relief co-ordination; protection and support services,Humanitarian Assistance,2015
1369,U.S. Agency for International Development,U.S. Government - U.S. Agency for International Development,Implementation,0.0,2017-10-01,2018-09-30,1146.55999999999,74010,Disaster prevention and preparedness,Humanitarian Assistance,2017
1370,U.S. Agency for International Development,Vendor implementing direct administrative services,Completion,0.0,2013-10-01,2014-09-30,46460.25,43010,Multisector aid,Program Management,2013
1371,U.S. Department of State,CELESTAR CORPORATION,Completion ,6500000.0,2016-05-03,2018-05-02,281.25,43010,Multisector aid,Multi-sector,2016
1372,U.S. Agency for International Development,The vendor name has been redacted in accordance with the Principled Exceptions outlined in the Office of Management and Budget Bulletin 12-01.,Completion,0.0,2013-09-10,2016-09-30,1338869.66999999,72010,Material relief assistance and services,Humanitarian Assistance,2013
1373,U.S. Agency for International Development,Personal Services Contractors - USAID,Implementation,0.0,2015-10-01,2018-09-30,332.42,72010,Material relief assistance and services,Humanitarian Assistance,2015
1374,U.S. Agency for International Development,Enterprise - Non United States Unknown,Completion,0.0,2015-10-01,2017-09-30,15.1,72010,Material relief assistance and services,Humanitarian Assistance,2015
1375,U.S. Agency for International Development,The vendor name has been redacted in accordance with the Principled Exceptions outlined in the Office of Management and Budget Bulletin 12-01.,Completion,0.0,2013-05-13,2017-09-30,759100.729999999,72050,Relief co-ordination; protection and support services,Humanitarian Assistance,2013
1376,U.S. Agency for International Development,"Blumont Engineering Solutions, Inc",Implementation,44998925.0,2016-06-18,2018-09-30,544058.819999999,15150,Democratic participation and civil society,"Democracy, Human Rights, and Governance",2016
1377,U.S. Agency for International Development,Information Management and Mine Action Programs,Completion,1944659.33,2016-05-01,2018-09-30,53117.6699999999,72010,Material relief assistance and services,Humanitarian Assistance,2016
